"x","mean","sd","name"
"1",10.0499871502169,11.5424917535124,0.69,"PAGDL2008"
"2",10.198478655079,11.4516001226359,0.69,"PAGDL2008"
"3",10.4412726942519,11.3272747776784,0.69,"PAGDL2008"
"4",10.7719945930366,11.1900690672344,0.69,"PAGDL2008"
"5",11.1828459252617,11.0523637331875,0.69,"PAGDL2008"
"6",11.6653633420877,10.9200887246487,0.69,"PAGDL2008"
"7",12.2110541828606,10.7955058260441,0.69,"PAGDL2008"
"8",12.8118488146575,10.6790837583485,0.69,"PAGDL2008"
"9",13.4603706962913,10.5705008252119,0.69,"PAGDL2008"
"10",14.1500590794726,10.4691324924058,0.69,"PAGDL2008"
"11",14.8751890093069,10.3742761525884,0.69,"PAGDL2008"
"12",15.6308287563934,10.2852490707516,0.69,"PAGDL2008"
"13",16.4127648676216,10.2014267332698,0.69,"PAGDL2008"
"14",17.2174149345083,10.1222538452264,0.69,"PAGDL2008"
"15",18.0417401293022,10.0472432821835,0.69,"PAGDL2008"
"16",18.8831639350657,9.97597020884929,0.69,"PAGDL2008"
"17",19.7394999162318,9.9080647115382,0.69,"PAGDL2008"
"18",20.6088892744445,9.84320444174564,0.69,"PAGDL2008"
"19",21.489747805611,9.78110788546196,0.69,"PAGDL2008"
"20",22.3807213424917,9.72152845726407,0.69,"PAGDL2008"
"21",23.2806485801151,9.66424942933008,0.69,"PAGDL2008"
"22",24.1885301796206,9.60907962640148,0.69,"PAGDL2008"
"23",25.103503134604,9.5558497910226,0.69,"PAGDL2008"
"24",26.024819508438,9.50440952087249,0.69,"PAGDL2008"
"25",26.9518287821723,9.4546246877987,0.69,"PAGDL2008"
"26",27.8839631759788,9.40637525955533,0.69,"PAGDL2008"
"27",28.8207254165158,9.35955345710247,0.69,"PAGDL2008"
"28",29.7616785163087,9.31406219128273,0.69,"PAGDL2008"
"29",30.7064372098274,9.26981373226422,0.69,"PAGDL2008"
"30",31.6546607559312,9.22672857325318,0.69,"PAGDL2008"
"31",32.6060468696246,9.18473445673593,0.69,"PAGDL2008"
"32",33.5603265895055,9.14376553708148,0.69,"PAGDL2008"
"33",34.5172599225871,9.10376165790463,0.69,"PAGDL2008"
"34",35.4766321368257,9.06466772632649,0.69,"PAGDL2008"
"35",36.4382505949301,9.02643316932351,0.69,"PAGDL2008"
"36",37.4019420418947,8.98901145985385,0.69,"PAGDL2008"
"37",38.3675502740352,8.95235970249562,0.69,"PAGDL2008"
"38",39.3349341297916,8.91643827001057,0.69,"PAGDL2008"
"39",40.303965752746,8.88121048362753,0.69,"PAGDL2008"
"40",41.2745290856364,8.84664233097962,0.69,"PAGDL2008"
"41",42.2465185609729,8.81270221657198,0.69,"PAGDL2008"
"42",43.2198379594747,8.77936074043862,0.69,"PAGDL2008"
"43",44.1943994121759,8.74659050129878,0.69,"PAGDL2008"
"44",45.1701225258651,8.71436592106661,0.69,"PAGDL2008"
"45",46.1469336146991,8.68266308802355,0.69,"PAGDL2008"
"46",47.1247650234596,8.65145961634559,0.69,"PAGDL2008"
"47",48.1035545301194,8.62073452000021,0.69,"PAGDL2008"
"48",49.0832448172195,8.5904680993002,0.69,"PAGDL2008"
"49",50.0637830030961,8.56064183863317,0.69,"PAGDL2008"
"50",51.0451202252883,8.53123831408168,0.69,"PAGDL2008"
"51",52.0272112695484,8.50224110981692,0.69,"PAGDL2008"
"52",53.0100142387961,8.4736347422919,0.69,"PAGDL2008"
"53",53.9934902571371,8.44540459138317,0.69,"PAGDL2008"
"54",54.9776032047306,8.41753683773558,0.69,"PAGDL2008"
"55",55.9623194798527,8.39001840565562,0.69,"PAGDL2008"
"56",56.9476077849847,8.36283691097763,0.69,"PAGDL2008"
"57",57.9334389341669,8.33598061339506,0.69,"PAGDL2008"
"58",58.9197856792122,8.30943837280814,0.69,"PAGDL2008"
"59",59.9066225526761,8.28319960929092,0.69,"PAGDL2008"
"60",60.8939257257434,8.25725426632508,0.69,"PAGDL2008"
"61",61.8816728794153,8.23159277698747,0.69,"PAGDL2008"
"62",62.8698430875775,8.2062060328125,0.69,"PAGDL2008"
"63",63.8584167106993,8.18108535508037,0.69,"PAGDL2008"
"64",64.8473752990596,8.15622246830906,0.69,"PAGDL2008"
"65",65.8367015045247,8.13160947575094,0.69,"PAGDL2008"
"66",66.8263790000158,8.10723883671545,0.69,"PAGDL2008"
"67",67.8163924058974,8.08310334555775,0.69,"PAGDL2008"
"68",68.8067272226098,8.05919611218906,0.69,"PAGDL2008"
"69",69.7973697689364,8.03551054397878,0.69,"PAGDL2008"
"70",70.78830712537,8.01204032893141,0.69,"PAGDL2008"
"71",71.7795270820923,7.98877942003216,0.69,"PAGDL2008"
"72",72.7710180911398,7.96572202066562,0.69,"PAGDL2008"
"73",73.7627692223673,7.94286257102069,0.69,"PAGDL2008"
"74",74.7547701228656,7.92019573540303,0.69,"PAGDL2008"
"75",75.7470109795218,7.89771639038343,0.69,"PAGDL2008"
"76",76.7394824844433,7.87541961371724,0.69,"PAGDL2008"
"77",77.7321758029942,7.85330067397546,0.69,"PAGDL2008"
"78",78.7250825442189,7.8313550208335,0.69,"PAGDL2008"
"79",79.7181947334459,7.80957827596846,0.69,"PAGDL2008"
"80",80.7115047868901,7.78796622451964,0.69,"PAGDL2008"
"81",81.7050054880839,7.76651480707128,0.69,"PAGDL2008"
"82",82.6986899659874,7.74522011211961,0.69,"PAGDL2008"
"83",83.6925516746397,7.72407836898975,0.69,"PAGDL2008"
"84",84.6865843742267,7.70308594117056,0.69,"PAGDL2008"
