"X","EventID","year","month","day","hour","minute","second","epi_lon","epi_lat","depth","Mw","Intensitylocation","lon","lat","Source","ConservativeInt","LeastInt","MeanInt","R_epi","R_hyp","bin"
"6",8,123,303,1,1,1,1,1,34.3,33.8,20,7.1,"Sidon",35.61,33.49,"Sbeinati et al. 2005",8,8,8,126.283706255419,127.857633583626,7
"7",9,123,303,1,1,1,1,1,34.3,33.8,20,7.1,"Tyre",35.2,33.27,"Sbeinati et al. 2005",8,8,8,102.155463307206,104.094854260476,7
"8",11,126,363,5,19,1,1,1,35.4,31.5,10,7.4,"Panyas",35.69,33.25,"Sbeinati et al. 2005",7,7,7,195.743139678698,195.998410022312,7
"13",17,134,502,8,22,1,1,1,34.8,33,30,7.2,"Akka",35.08,32.93,"Sbeinati et al. 2005",8,8,8,27.3014894729154,40.5631769889848,7
"14",18,134,502,8,22,1,1,1,34.8,33,30,7.2,"Tyre",35.2,33.27,"Sbeinati et al. 2005",8,7,7.5,47.8295400339723,56.4594093120124,7
"15",19,134,502,8,22,1,1,1,34.8,33,30,7.2,"Sidon",35.61,33.49,"Sbeinati et al. 2005",8,7,7.5,92.9766043701684,97.6967192909097,7
"16",20,134,502,8,22,1,1,1,34.8,33,30,7.2,"Beirut",35.5,33.89,"Sbeinati et al. 2005",7,7,7,118.141314897629,121.890812966937,7
"17",21,134,502,8,22,1,1,1,34.8,33,30,7.2,"Safad",35.5,32.96,"Sbeinati et al. 2005",6,6,6,65.5817453024226,72.1177184671827,7
"18",22,134,502,8,22,1,1,1,34.8,33,30,7.2,"Reina",35.32,32.72,"Sbeinati et al. 2005",6,6,6,57.7142647168873,65.0456482157795,7
"22",26,140,551,7,9,1,1,1,35.5,33.9,15,7.2,"Beirut",35.5,33.89,"Sbeinati et al. 2005",10,9,9.5,1.10792670614571,15.0408610653177,7
"23",27,140,551,7,9,1,1,1,35.5,33.9,15,7.2,"Sur",35.2,33.27,"Sbeinati et al. 2005",10,9,9.5,75.1460764512387,76.6285378042372,7
"24",28,140,551,7,9,1,1,1,35.5,33.9,15,7.2,"Tripoli",35.83,34.44,"Sbeinati et al. 2005",10,9,9.5,67.1228556660887,68.7784686713115,7
"25",29,140,551,7,9,1,1,1,35.5,33.9,15,7.2,"Byblus",35.65,34.12,"Sbeinati et al. 2005",10,9,9.5,28.0378814604152,31.7981571288069,7
"26",30,140,551,7,9,1,1,1,35.5,33.9,15,7.2,"Al-Batron",35.66,34.25,"Sbeinati et al. 2005",10,9,9.5,41.4957258896585,44.123636150137,7
"27",31,140,551,7,9,1,1,1,35.5,33.9,15,7.2,"Shaqa",35.73,34.32,"Sbeinati et al. 2005",10,9,9.5,51.1449630210642,53.2992236568791,7
"28",32,140,551,7,9,1,1,1,35.5,33.9,15,7.2,"Sarfand",35.29,33.45,"Sbeinati et al. 2005",8,7,7.5,53.5230651755313,55.5852364012619,7
"29",33,140,551,7,9,1,1,1,35.5,33.9,15,7.2,"Sidon",35.61,33.49,"Sbeinati et al. 2005",8,7,7.5,46.5540365704987,48.9109223078786,7
"33",39,150,747,1,18,1,1,1,35.6,32.5,25,7.2,"Mount Tabor",35.39,32.69,"Sbeinati et al. 2005",9,7,8,28.8367478758693,38.1648795105717,7
"34",41,150,747,1,18,1,1,1,35.6,32.5,25,7.2,"Bosra",36.47,32.52,"Sbeinati et al. 2005",7,7,7,81.7805309699484,85.5164033722578,7
"35",42,150,747,1,18,1,1,1,35.6,32.5,25,7.2,"Nawa",36.04,32.89,"Sbeinati et al. 2005",8,8,8,59.7373335090686,64.7576174266294,7
"36",43,150,747,1,18,1,1,1,35.6,32.5,25,7.2,"Balqa",35.77,32.06,"Sbeinati et al. 2005",8,8,8,51.2977797724497,57.0654204363969,7
"37",44,150,747,1,18,1,1,1,35.6,32.5,25,7.2,"Al-Quds",35.23,31.78,"Sbeinati et al. 2005",7,7,7,87.050285356236,90.5690464816878,7
"38",45,150,747,1,18,1,1,1,35.6,32.5,25,7.2,"Beit Qubayeh",36.29,33.51,"Sbeinati et al. 2005",8,7,7.5,129.130606634949,131.528375531327,7
"39",46,150,747,1,18,1,1,1,35.6,32.5,25,7.2,"Tabaryya",35.53,32.8,"Sbeinati et al. 2005",7,7,7,33.872728410154,42.0994267175701,7
"40",49,150,747,1,18,1,1,1,35.6,32.5,25,7.2,"Darayya",36.25,33.45,"Sbeinati et al. 2005",6,6,6,121.515572747679,124.060607850343,7
"41",50,150,747,1,18,1,1,1,35.6,32.5,25,7.2,"Damascus",36.29,33.51,"Sbeinati et al. 2005",6,5,5.5,129.130606634949,131.528375531327,7
"42",51,150,747,1,18,1,1,1,35.6,32.5,25,7.2,"Daraa",36.11,32.63,"Sbeinati et al. 2005",6,5,5.5,50.0113219164026,55.9118262966437,7
"45",58,157,847,11,24,1,1,1,36.3,34.4,35,7.5,"Damascus",36.29,33.51,"Sbeinati et al. 2005",8,7,7.5,98.6109439201942,104.63803448475,7.5
"46",59,157,847,11,24,1,1,1,36.3,34.4,35,7.5,"Al-Ghouta",36.7,34.73,"Sbeinati et al. 2005",8,7,7.5,51.8121328333686,62.5259714738014,7.5
"47",60,157,847,11,24,1,1,1,36.3,34.4,35,7.5,"Al-Mazzeh",36.26,33.5,"Sbeinati et al. 2005",7,7,7,99.7829827884813,105.743291296263,7.5
"48",61,157,847,11,24,1,1,1,36.3,34.4,35,7.5,"Beit Lahya",35.8,33.48,"Sbeinati et al. 2005",7,7,7,111.92103663929,117.266015718167,7.5
"49",62,157,847,11,24,1,1,1,36.3,34.4,35,7.5,"Darayya",36.25,33.45,"Sbeinati et al. 2005",7,7,7,105.355129955304,111.016680764194,7.5
"50",63,157,847,11,24,1,1,1,36.3,34.4,35,7.5,"Antioch",36.16,36.2,"Sbeinati et al. 2005",6,6,6,199.886659189891,202.927761831879,7.5
"51",65,159,859,12,30,1,1,1,36.4,35.7,33,7.4,"Antioch",36.16,36.2,"Sbeinati et al. 2005",8,8,8,59.4980673016337,68.0369018447322,7
"52",66,159,859,12,30,1,1,1,36.4,35.7,33,7.4,"Lattakia",35.78,35.53,"Sbeinati et al. 2005",8,8,8,59.2473022948858,67.8177176644981,7
"53",67,159,859,12,30,1,1,1,36.4,35.7,33,7.4,"Jableh",35.97,35.16,"Sbeinati et al. 2005",8,8,8,71.4573322303823,78.7092772770989,7
"54",68,159,859,12,30,1,1,1,36.4,35.7,33,7.4,"Homs",36.72,34.77,"Sbeinati et al. 2005",7,7,7,107.100554583847,112.069303523167,7
