"x","mean","sd","name"
"1",10.0499871502169,9.33249175351236,0.69,"PAGDL2008"
"2",10.198478655079,9.24160012263595,0.69,"PAGDL2008"
"3",10.4412726942519,9.11727477767842,0.69,"PAGDL2008"
"4",10.7719945930366,8.98006906723442,0.69,"PAGDL2008"
"5",11.1828459252617,8.84236373318752,0.69,"PAGDL2008"
"6",11.6653633420877,8.71008872464871,0.69,"PAGDL2008"
"7",12.2110541828606,8.58550582604414,0.69,"PAGDL2008"
"8",12.8118488146575,8.46908375834849,0.69,"PAGDL2008"
"9",13.4603706962913,8.36050082521185,0.69,"PAGDL2008"
"10",14.1500590794726,8.25913249240583,0.69,"PAGDL2008"
"11",14.8751890093069,8.16427615258838,0.69,"PAGDL2008"
"12",15.6308287563934,8.0752490707516,0.69,"PAGDL2008"
"13",16.4127648676216,7.99142673326983,0.69,"PAGDL2008"
"14",17.2174149345083,7.91225384522644,0.69,"PAGDL2008"
"15",18.0417401293022,7.83724328218347,0.69,"PAGDL2008"
"16",18.8831639350657,7.76597020884929,0.69,"PAGDL2008"
"17",19.7394999162318,7.6980647115382,0.69,"PAGDL2008"
"18",20.6088892744445,7.63320444174564,0.69,"PAGDL2008"
"19",21.489747805611,7.57110788546196,0.69,"PAGDL2008"
"20",22.3807213424917,7.51152845726407,0.69,"PAGDL2008"
"21",23.2806485801151,7.45424942933008,0.69,"PAGDL2008"
"22",24.1885301796206,7.39907962640148,0.69,"PAGDL2008"
"23",25.103503134604,7.3458497910226,0.69,"PAGDL2008"
"24",26.024819508438,7.29440952087249,0.69,"PAGDL2008"
"25",26.9518287821723,7.2446246877987,0.69,"PAGDL2008"
"26",27.8839631759788,7.19637525955532,0.69,"PAGDL2008"
"27",28.8207254165158,7.14955345710247,0.69,"PAGDL2008"
"28",29.7616785163087,7.10406219128273,0.69,"PAGDL2008"
"29",30.7064372098274,7.05981373226422,0.69,"PAGDL2008"
"30",31.6546607559312,7.01672857325318,0.69,"PAGDL2008"
"31",32.6060468696246,6.97473445673593,0.69,"PAGDL2008"
"32",33.5603265895055,6.93376553708148,0.69,"PAGDL2008"
"33",34.5172599225871,6.89376165790462,0.69,"PAGDL2008"
"34",35.4766321368257,6.85466772632649,0.69,"PAGDL2008"
"35",36.4382505949301,6.81643316932351,0.69,"PAGDL2008"
"36",37.4019420418947,6.77901145985385,0.69,"PAGDL2008"
"37",38.3675502740352,6.74235970249562,0.69,"PAGDL2008"
"38",39.3349341297916,6.70643827001057,0.69,"PAGDL2008"
"39",40.303965752746,6.67121048362753,0.69,"PAGDL2008"
"40",41.2745290856364,6.63664233097962,0.69,"PAGDL2008"
"41",42.2465185609729,6.60270221657198,0.69,"PAGDL2008"
"42",43.2198379594747,6.56936074043862,0.69,"PAGDL2008"
"43",44.1943994121759,6.53659050129878,0.69,"PAGDL2008"
"44",45.1701225258651,6.50436592106661,0.69,"PAGDL2008"
"45",46.1469336146991,6.47266308802355,0.69,"PAGDL2008"
"46",47.1247650234596,6.44145961634559,0.69,"PAGDL2008"
"47",48.1035545301194,6.41073452000021,0.69,"PAGDL2008"
"48",49.0832448172195,6.3804680993002,0.69,"PAGDL2008"
"49",50.0637830030961,6.35064183863317,0.69,"PAGDL2008"
"50",51.0451202252883,6.32123831408168,0.69,"PAGDL2008"
"51",52.0272112695484,6.29224110981692,0.69,"PAGDL2008"
"52",53.0100142387961,6.2636347422919,0.69,"PAGDL2008"
"53",53.9934902571371,6.23540459138317,0.69,"PAGDL2008"
"54",54.9776032047306,6.20753683773557,0.69,"PAGDL2008"
"55",55.9623194798527,6.18001840565562,0.69,"PAGDL2008"
"56",56.9476077849847,6.15283691097763,0.69,"PAGDL2008"
"57",57.9334389341669,6.12598061339506,0.69,"PAGDL2008"
"58",58.9197856792122,6.09943837280814,0.69,"PAGDL2008"
"59",59.9066225526761,6.07319960929092,0.69,"PAGDL2008"
"60",60.8939257257434,6.04725426632507,0.69,"PAGDL2008"
"61",61.8816728794153,6.02159277698747,0.69,"PAGDL2008"
"62",62.8698430875775,5.9962060328125,0.69,"PAGDL2008"
"63",63.8584167106993,5.97108535508037,0.69,"PAGDL2008"
"64",64.8473752990596,5.94622246830906,0.69,"PAGDL2008"
"65",65.8367015045247,5.92160947575094,0.69,"PAGDL2008"
"66",66.8263790000158,5.89723883671545,0.69,"PAGDL2008"
"67",67.8163924058974,5.87310334555775,0.69,"PAGDL2008"
"68",68.8067272226098,5.84919611218905,0.69,"PAGDL2008"
"69",69.7973697689364,5.82551054397878,0.69,"PAGDL2008"
"70",70.78830712537,5.80204032893141,0.69,"PAGDL2008"
"71",71.7795270820923,5.77877942003216,0.69,"PAGDL2008"
"72",72.7710180911398,5.75572202066562,0.69,"PAGDL2008"
"73",73.7627692223673,5.73286257102069,0.69,"PAGDL2008"
"74",74.7547701228656,5.71019573540303,0.69,"PAGDL2008"
"75",75.7470109795218,5.68771639038343,0.69,"PAGDL2008"
"76",76.7394824844433,5.66541961371724,0.69,"PAGDL2008"
"77",77.7321758029942,5.64330067397546,0.69,"PAGDL2008"
"78",78.7250825442189,5.6213550208335,0.69,"PAGDL2008"
"79",79.7181947334459,5.59957827596846,0.69,"PAGDL2008"
"80",80.7115047868901,5.57796622451964,0.69,"PAGDL2008"
"81",81.7050054880839,5.55651480707128,0.69,"PAGDL2008"
"82",82.6986899659874,5.53522011211961,0.69,"PAGDL2008"
"83",83.6925516746397,5.51407836898975,0.69,"PAGDL2008"
"84",84.6865843742267,5.49308594117055,0.69,"PAGDL2008"
