ID NAME RMSR LLH MDE_norm Kappa_sq EDR
2     SSG2009 1.61966025887796  -0.874417776775463  1.03935031733688 0.988728230770028  1.02763500041076
3     AWW2012 1.84842539446446  -0.401344502085562  1.24339046366881 0.869422781467316  1.08103199537287
4     SSG2010 3.08465350734437   -1.04796611017363  1.44733344786144  1.22593344664845  1.77433448218637
5      CL2002 1.49620647286495   -1.58964182905297  1.04463424713129 0.830331903574493 0.867393142959632
6     LBB2014 1.63729436455252   -5.84933087771227 0.936531885949251 0.693113651610051 0.649123035319533
7  BPOAMZ2011 1.54993195965298    -0.6727912424619  1.02928715706527 0.743061398632422  0.76482355452331
8       B2006 4.01569853433712 -0.0980716941703835  1.21701868357439  1.65690341952063   2.0164824184349
9      DR2005 1.27525074773047   -2.42565670576854  0.88347707908068  0.64792023884298 0.572422680090253
10  PAGDL2008 1.42117771764822   -2.15114578311092  1.02001483473308 0.785369010221108  0.80108804116517
11   GVTB2010 1.49936482086195   -3.60611272637775 0.993182440242443 0.735963897046701 0.730946419199181
