"","EventID","date","year","month","day","hour","minute","second","epi_lon","epi_lat","depth","magnitude","Intensity.location","lon","lat","Intensity..EMS.92.","Note","Source","Conservative.Int","Least.Int","MeanInt","R_epi"
"512",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Masada",35.36,31.31,"","","ZOHAR2012",NA,NA,8,55.8689000088321
"513",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Merhavia",35.31,32.59,"","","ZOHAR2012",NA,NA,6.5,89.3134160187451
"514",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Mar-sava",35.34,31.71,"","","ZOHAR2012",NA,NA,7.5,18.1422040643505
"515",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Meslovia",35.63,31.76,"","","ZOHAR2012",NA,NA,8,13.0859629588324
"517",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Nahalal",35.19,32.68,"","","ZOHAR2012",NA,NA,6,101.751571126986
"518",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Naharia",35.09,33.01,"","","ZOHAR2012",NA,NA,6,139.46078728359
"519",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Sorek River",34.87,31.8,"","","ZOHAR2012",NA,NA,6.5,59.6594706536376
"520",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Nes-Ziona",34.8,31.92,"","","ZOHAR2012",NA,NA,7,67.5653012228199
"521",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Nazeret",35.3,32.7,"","","ZOHAR2012",NA,NA,7,101.448496377586
"522",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Salfit",35.18,32.08,"","","ZOHAR2012",NA,NA,7,43.3260755328817
"523",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Sweida",36.58,32.7,"","","ZOHAR2012",NA,NA,7,142.456903416795
"524",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Abadia",35.55,32.68,"","","ZOHAR2012",NA,NA,7,97.5810355670193
"525",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Ajloon",35.74,32.33,"","","ZOHAR2012",NA,NA,8,62.9224824609304
"526",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Gaza",34.46,31.5,"","","ZOHAR2012",NA,NA,6.5,104.088306293635
"527",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Azraa'",36.24,32.85,"","","ZOHAR2012",NA,NA,6,135.57163658174
"528",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Atara",35.2,32,"","","ZOHAR2012",NA,NA,7,35.9995656297486
"529",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Ein-el-Kelt",35.37,31.83,"","","ZOHAR2012",NA,NA,7.5,12.7492312370274
"530",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Ein Dok",35.43,31.88,"","","ZOHAR2012",NA,NA,7.5,11.0635501977304
"531",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Ein Harod",35.39,32.56,"","","ZOHAR2012",NA,NA,6,84.8120707295765
"532",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Ein Karem",35.17,31.77,"","","ZOHAR2012",NA,NA,7,31.4313649624727
"533",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Ein Musa",35.73,31.76,"","","ZOHAR2012",NA,NA,7,22.2309877880855
"534",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Ein Kinia",35.15,31.93,"","","ZOHAR2012",NA,NA,7,36.1148218962626
"535",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Ein Fara'",35.35,32.29,"","","ZOHAR2012",NA,NA,7,56.0881345933264
"536",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Aco",35.07,32.93,"","","ZOHAR2012",NA,NA,6,131.539386715434
"537",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Anab",34.93,31.39,"","","ZOHAR2012",NA,NA,6,70.6258312803344
"538",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Afula",35.28,32.6,"","","ZOHAR2012",NA,NA,6.5,91.0013982889826
"540",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Ekron",34.83,31.85,"","","ZOHAR2012",NA,NA,6.5,63.6715139542253
"542",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Petah Tikva",34.9,32.1,"","","ZOHAR2012",NA,NA,5.5,65.7404194781356
"543",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Tzemach",35.58,32.71,"","","ZOHAR2012",NA,NA,7,101.071720996161
"544",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Safed",35.49,32.96,"","","ZOHAR2012",NA,NA,6.5,128.486285065658
"545",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Tzora",34.98,31.77,"","","ZOHAR2012",NA,NA,6.5,49.3626471353131
"546",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Kabab",34.75,31.89,"","","ZOHAR2012",NA,NA,7,71.6850085102411
"549",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Kalkilia",34.96,32.19,"","","ZOHAR2012",NA,NA,5.5,66.8550497851576
"550",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Kiriat Anavim",35.12,31.81,"","","ZOHAR2012",NA,NA,7,36.0002102539597
"552",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Rosh Ha'ayin",34.92,32.1,"","","ZOHAR2012",NA,NA,6,64.1159368062892
"553",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Amman",35.93,31.95,"","","ZOHAR2012",NA,NA,8.5,43.9477514659969
"554",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Rehovot",34.81,31.9,"","","ZOHAR2012",NA,NA,6.5,66.2384760328716
"555",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Reina",35.3,32.72,"","","ZOHAR2012",NA,NA,7.5,103.625728270489
"556",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Ramle",34.87,31.92,"","","ZOHAR2012",NA,NA,7,61.0840949482364
"557",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Ramat Yishai",35.17,32.7,"","","ZOHAR2012",NA,NA,5,104.420349017549
"560",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Shunam",35.33,32.6,"","","ZOHAR2012",NA,NA,6.5,90.0439281703309
"561",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Borochov Nei.",34.81,32.07,"","","ZOHAR2012",NA,NA,5.5,71.7718850383274
"562",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Nablus",35.25,32.21,"","","ZOHAR2012",NA,NA,8,51.1853839522271
"563",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Tel Aviv",34.77,32.07,"","","ZOHAR2012",NA,NA,5.5,75.2268389885267
"564",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Tel Yosef",35.39,32.53,"","","ZOHAR2012",NA,NA,6,81.5153179715091
"565",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Dead sea North 1",35.53,31.76,"","","ZOHAR2012",NA,NA,8.5,5.26294674967677
"566",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Dead sea North 2",35.46,31.73,"","","ZOHAR2012",NA,NA,8.5,8.62891585161576
"567",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Dead sea North 3",35.5,31.74,"","","ZOHAR2012",NA,NA,8.5,6.64491218473844
"568",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Jordan Bank",35.54,31.83,"","","ZOHAR2012",NA,NA,8.5,5.03808291726518
"569",165,"",1927,NA,NA,NA,NA,NA,35.5,31.8,15,6.1," Yarmuch fall",35.67,32.68,"","","ZOHAR2012",NA,NA,7,98.7751693098432
"587",166,"",1995,NA,NA,NA,NA,NA,34.8,28.8,10,7.2,"",33.81291,27.25738,"","","AL-TARAZI1999",NA,NA,5,196.38982628277
"598",166,"",1995,NA,NA,NA,NA,NA,34.8,28.8,10,7.2,"",34.94821,29.55805,"","","AL-TARAZI1999",NA,NA,8,85.1430948328142
"608",166,"",1995,NA,NA,NA,NA,NA,34.8,28.8,10,7.2,"",33.07829,28.35831,"","","AL-TARAZI1999",NA,NA,5,175.385694982549
"627",166,"",1995,NA,NA,NA,NA,NA,34.8,28.8,10,7.2,"",33.67825,27.39417,"","","AL-TARAZI1999",NA,NA,5,190.682431731427
"635",166,"",1995,NA,NA,NA,NA,NA,34.8,28.8,10,7.2,"",34.32995,27.91582,"","","AL-TARAZI1999",NA,NA,7,108.167994626001
"673",166,"",1995,NA,NA,NA,NA,NA,34.8,28.8,10,7.2,"",34.6634,29.04681,"","","AL-TARAZI1999",NA,NA,9,30.3939296759673
