X,Y,f1,f2,f3,f4,lat,lon,f7,f8,f9,f10,f11,f12,f13,f14,pop,f16,f17,f18,field_19,id,MMI
36.18382,33.07227,172469,A? ?anamayn,As Sanamayn,"Aere,Aer?,As Sanamayn,A? ?anamayn,Ehs-Sanamejn,Es Sanamein,Es Sannamain,Sanamayn,Sanamein,Sanameine,Saname?ne,Sanmayn,alsnmyn,snmyn,?anamayn,??-????????,???????,?????",33.072270000000003,36.183819999999997,P,PPLA2,SY,,6,,,,25702,,641,Asia/Damascus,11/01/2014,0,3
35.20422,31.89964,282239,Ramallah,Ramallah,"Rahm Alla,Ram Allah,Ramala,Ramalaho,Ramalla,Ramallae,Ramallag',Ramallah,Ramallakh,Ramall?h,Ramal?lah,R?mall?h,R?m All?h,R?malla,ZDM,la mu an la,lamalla,ram allh,ramarra,ramla,rxma llxh,??????,???????,???????,?????????,????????,??????,???????,??????,??? ?",31.899640000000002,35.204219999999999,P,PPL,PS,,WE,,,,24599,,879,Asia/Hebron,28/11/2013,2,5
36.51522,36.1168,168629,Kafr Takh?r?m,Kafr Takharim,"Kafar Takharim,Kafer Harut,Kafer Taharim,Kafer Tah?rim,Kafer Takharim,Kafer Takh?rim,Kafer Tkherim,Kafr Taharim,Kafr Takharim,Kafr Takh?r?m,Kafr Ta??r?m,kfr tkharym,??? ??????",36.116799999999998,36.515219999999999,P,PPLA3,SY,,12,,,,22436,,469,Asia/Damascus,05/06/2012,11,1
35.57212,33.20733,293825,Qiryat Shemona,Qiryat Shemona,"Al Khalisa,El Khalisa,Halasa,Halsa,Khalasah,Kir'jat-Shmona,Kiryat Shemoneh,Qiryat Shemona,Qiryat Shemonah,Qiryat Shmona,Shemona Kiryat,qryt smwnh,??????-?????,???? ?????",33.207329999999999,35.572119999999998,P,PPL,IL,,3,,,,22035,,124,Asia/Jerusalem,18/01/2012,0,3
35.84341,31.97733,6956372,Orange Shop,Orange Shop,,31.977329999999998,35.843409999999999,S,MALL,JO,,16,,,,20000,800,966,Asia/Amman,06/11/2009,2,5
35.06611,31.39671,284583,As Sam??,As Samu`,"Al-Samou',Al-Samou?,As Samu`,As Sam??,As-Samu,Es Samu`,Es Sam??,Eshtemoa`,Eshtemoa?,Samu'a,al-Samu',??????",31.396709999999999,35.066110000000002,P,PPL,PS,,WE,,,,19355,,696,Asia/Hebron,18/01/2012,3,6
35.8575,32.50722,250152,Ayd?n,Aydun,"Aidun,Aid?n,Aydun,Ayd?n,Eidun,Eid?n",32.507219999999997,35.857500000000002,P,PPL,JO,,18,,,,18376,,649,Asia/Amman,18/01/2012,1,4
35.49632,32.49728,295435,Bet She?an,Bet She'an,"Beisan,Beis?n,Beit She'an,Beit Shean,Beit-Shean,Beith Shean,Beith She?n,Bejt-Shean,Besan,Bet Sche'an,Bet Sche?an,Bet She'an,Bet Shean,Bet She?an,Bet Sze'an,Bet Sze?an,Beth Shan,Beth Shean,Be?t Sh?an,Be?t-Sh?an,Scythopolis,Skythopolis,bysan,????-????,???",32.497280000000003,35.496319999999997,P,PPL,IL,,3,,,,16800,,-121,Asia/Jerusalem,07/02/2013,1,4
35.23011,32.48563,284999,Al Y?m?n,Al Yamun,"Al Yamoun,Al Yamun,Al Y?m?n,Alyamoun,El Yamun,El Y?m?n,Yamun,Y?m?n,alyamwn,???????",32.485630000000000,35.230110000000003,P,PPL,PS,,WE,,,,16164,,177,Asia/Hebron,28/02/2012,1,4
34.70659,31.78737,295080,Gan Yavne,Gan Yavne,"Gan Yavne,Gan Yavneh,gn ybnh,?? ????",31.787369999999999,34.706589999999998,P,PPL,IL,,2,,,,14975,,52,Asia/Jerusalem,18/01/2012,2,5
34.77998,31.81456,295064,Gedera,Gedera,"Gedera,Gederah,Guedera,Gueder?,gai dai la,gdra,gdrh,gedela,??????,????,????,???,???",31.814560000000000,34.779980000000002,P,PPL,IL,,2,,,,14575,,64,Asia/Jerusalem,18/01/2012,2,5
35.16822,32.44566,281318,Ya?bad,Ya`bad,"Ya`bad,Ya`bud,Ya?bad,Ya?bud,????",32.445659999999997,35.168219999999998,P,PPL,PS,,WE,,,,13477,,351,Asia/Hebron,18/01/2012,1,4
35.17048,31.8966,284294,Bayt?ny?,Baytunya,"Baytunya,Bayt?ny?,Beitunia,Beituniya,Beituniy?,Beitunya,Beit?nya,Betounia,Betunia,Bituniya,B?tuniy?,bytwnya,???????",31.896599999999999,35.170479999999998,P,PPL,PS,,WE,,,,12822,,781,Asia/Hebron,28/02/2012,2,5
35.7186,32.54388,250186,A? ?ayyibah,At Tayyibah,"At Tayyibah,At Tibah,A? ?ayyibah,A? ??bah,Et Taiyiba,Et Taiyibe,E? ?aiyiba,Taibe,Taiyiba,Tayyibah,altybt,?ayyibah,??????",32.543880000000001,35.718600000000002,P,PPLA2,JO,,18,,,,12615,,306,Asia/Amman,06/09/2015,1,4
34.32995,27.91582,349340,Sharm el-Sheikh,Sharm el-Sheikh,"Awfir,Awf?r,Charm el-Cheikh,Cherm,Ofira,Ophira,Ras Muhammad,Ras Umm Sidd,SSH,Sharm al Shaikh,Sharm ash Shaykh,Sharm el Sheikh,Sharm el-Sheij,Sharm el-Sheikh,Sharm esh Sheikh,Sharm-ehl'-Shejkh,Sherm el Sheik,Sherm el Sheikh,Sherm el Shekh,sha mu sha yi he",27.915820000000000,34.329949999999997,P,PPL,EG,,26,,,,12000,,11,Africa/Cairo,11/01/2014,4,7
35.22752,32.50847,281791,S?lat al ??rith?yah,Silat al Harithiyah,"Silat al Harithiya,Silat al Harithiyah,Silat el Harithiya,S?lat al ??rith?yah,S?lat el ??rith?ya,sylt alharthyt,???? ????????",32.508470000000003,35.227519999999998,P,PPL,PS,,WE,,,,9557,,128,Asia/Hebron,28/02/2012,1,4
35.08266,32.43274,282463,Qaff?n,Qaffin,"Kuffin,Qaffin,Qaff?n,Quffin,Quff?n,fqyn,????",32.432740000000003,35.082659999999997,P,PPL,PS,,WE,,,,8489,,126,Asia/Hebron,28/02/2012,1,4
34.84646,31.85357,294303,Mazkeret Batya,Mazkeret Batya,"Ekron,Mazkeret Batya,Mazkeret Batyah,`Eqron,mzkrt btyh,????? ????,?Eqr?n",31.853570000000001,34.846460000000000,P,PPL,IL,,2,,,,8034,,75,Asia/Jerusalem,05/12/2012,2,5
35.0654,31.86958,284312,Bayt Liqy?,Bayt Liqya,"Bayt Liqya,Bayt Liqy?,Beit Liqya,Beit Liqy?,Biet Liqia,Likia,byt lqya,??? ????",31.869579999999999,35.065399999999997,P,PPL,PS,,WE,,,,7795,,293,Asia/Hebron,28/02/2012,2,5
35.78829,32.51737,249930,Bayt Y?f?,Bayt Yafa,"Bayt Yafa,Bayt Y?f?,Beit Yafa,Beit Y?f?",32.517370000000000,35.788290000000003,P,PPL,JO,,18,,,,7788,,612,Asia/Amman,18/01/2012,1,4
34.75,31.78333,295515,Bene 'Ayish,Bene 'Ayish,"Nahal Soreq,Na?al Soreq",31.783329999999999,34.750000000000000,P,PPL,IL,,2,,,,7763,,61,Asia/Jerusalem,07/05/2010,2,5
35.21165,31.95119,283542,Mukhayyam al Jalaz?n,Mukhayyam al Jalazun,"Jalazoun,Mukhayyam al Jalazun,Mukhayyam al Jalaz?n,mkhym aljlzwn,???? ???????",31.951190000000000,35.211649999999999,S,CMPRF,PS,,WE,,,,7708,,772,Asia/Hebron,18/01/2012,2,5
35.60839,30.73497,249842,Bu?ayr?,Busayra,"Al Busayrah,Al Bu?ayrah,Busayra,Busayrah,Buseira,Bu?ayrah,Bu?ayr?,El Buseira,El Busera,bsyra,?????",30.734970000000001,35.608390000000000,P,PPLA2,JO,,12,,,,7154,,900,Asia/Amman,08/11/2015,4,7
35.2613,31.97625,281789,Silw?d,Silwad,"Silwad,Silw?d,slwad,?????",31.976250000000000,35.261299999999999,P,PPL,PS,,WE,,,,7006,,844,Asia/Hebron,18/01/2012,2,5
35.26661,31.91112,284078,Dayr Dibw?n,Dayr Dibwan,"Dayr Dibwan,Dayr Dibw?n,Deir Dibwan,Deir Dibw?n,Dier Dibwan,dyr dbwan,??? ?????",31.911120000000000,35.266610000000000,P,PPL,PS,,WE,,,,6692,,772,Asia/Hebron,28/02/2012,2,5
35.19408,31.96959,284237,B?r Zayt,Bir Zayt,"Az Zayt,Bi'r az Zayt,Bir Zayt,Bir Zeit,Bir Ziet,Birzeit,Bi?r az Zayt,B?r Zayt,B?r Zeit,byr zyt,??? ???",31.969590000000000,35.194080000000000,P,PPL,PS,,WE,,,,6398,,775,Asia/Hebron,28/02/2012,2,5
35.79873,32.49116,249676,Dayr Y?suf,Dayr Yusuf,"Dayr Yusuf,Dayr Y?suf,Deir Yusuf,Deir Y?suf",32.491160000000001,35.798729999999999,P,PPL,JO,,18,,,,6223,,739,Asia/Amman,18/01/2012,1,4
36.15265,32.44017,250697,Al ?amr??,Al Hamra',"Al Hamra',Al ?amr??,El Hamra,El ?amra,???????",32.440170000000002,36.152650000000001,P,PPL,JO,,15,,,,6211,,706,Asia/Amman,08/11/2015,1,4
35.1624,31.95403,285034,Az Zayt?n?yah,Az Zaytuniyah,"Al Mazra`ah al Qibliyah,Al Mazra`at al Qibliyah,Al Mazra?ah al Qibl?yah,Al Mazra?at al Qibl?yah,Az Zaytuniyah,Az Zayt?n?yah,El Mazra`a al Qibliya,El Mazra`a el Qibliya,El Mazra?a al Qibliya,El Mazra?a el Qibliya,Mazra`a al Qibliya,Mazra`at Bani Harith,Ma",31.954029999999999,35.162399999999998,P,PPL,PS,,WE,,,,6107,,695,Asia/Hebron,18/01/2012,2,5
34.81619,31.37284,6693244,Lehavim,Lehavim,"lhbym,?????",31.372840000000000,34.816189999999999,P,PPL,IL,,1,,,,6000,260,317,Asia/Jerusalem,12/06/2008,3,6
35.60533,32.5427,245989,Waqq??,Waqqas,"Wakkas,Waqqas,Waqq??,wqas,????",32.542700000000004,35.605330000000002,P,PPL,JO,,18,,,,5678,,-192,Asia/Amman,04/07/2012,1,4
36.50159,32.32696,247176,?ab??,Sabha,"Sabha,Sabhah,sbha,?ab?ah,?ab??,????",32.326960000000000,36.501590000000000,P,PPLA3,JO,,15,,,,5315,,837,Asia/Amman,08/11/2015,1,4
35.72844,32.47555,246522,Tibnah,Tibnah,"Tibna,Tibnah,Tibne,Tibni",32.475549999999998,35.728439999999999,P,PPL,JO,,18,,,,5229,,617,Asia/Amman,18/01/2012,1,4
35.07185,31.88546,283157,Kharbath? al Mi?b??,Kharbatha al Misbah,"Kharbatha al Misbah,Kharbath? al Mi?b??,Khirbat al Misbah,Khirbat al Mi?b??,Khirbat el Misbah,Khirbat el Mi?b??,khrbtha almsbah,????? ???????",31.885459999999998,35.071849999999998,P,PPL,PS,,WE,,,,5141,,360,Asia/Hebron,18/01/2012,2,5
34.6634,29.04681,350893,Nuwaybi?a,Nuwaybi`a,"Nueiba,Nuvejba,Nuwaiba,Nuwaiba`,Nuwaiba?,Nuwaybi`a,Nuwaybi?a,Nuweiba,Nuweibeh,Nuweib?,???????",29.046810000000001,34.663400000000003,P,PPL,EG,,26,,,,5000,,11,Africa/Cairo,16/11/2013,6,9
34.99081,31.87111,8199379,Nof Ayalon,Nof Ayalon,??? ??????,31.871110000000002,34.990810000000003,P,PPL,IL,IL,,,,,5000,195,204,Asia/Jerusalem,22/02/2012,2,5
35.86893,31.9634,6956373,Jordan Gate,Jordan Gate,,31.963400000000000,35.868929999999999,S,BLDG,JO,,16,,,,5000,900,989,Asia/Amman,06/11/2009,2,5
